COMMAND     PID       USER   FD   TYPE DEVICE SIZE/OFF NLINK      NODE NAME
xdg-deskt 33484 tarilka0gg   17u   REG    0,1     3840     0      5120 /memfd:smithay-dmabuffeedback-format-table (deleted)
Privilege 33491 tarilka0gg    4r   REG    0,1  1073224     0     11840 /memfd:mozilla-ipc (deleted)
Privilege 33491 tarilka0gg   23r   REG    0,1   296992     0     11267 /memfd:mozilla-ipc (deleted)
Privilege 33491 tarilka0gg   24r   REG    0,1   460800     0     11266 /memfd:mozilla-ipc (deleted)
Privilege 33491 tarilka0gg   25r   REG    0,1    11822     0     11298 /memfd:mozilla-ipc (deleted)
Privilege 33491 tarilka0gg   28r   REG    0,1    14116     0     11339 /memfd:mozilla-ipc (deleted)
Privilege 33491 tarilka0gg   30r   REG    0,1     7418     0     11270 /memfd:mozilla-ipc (deleted)
Privilege 33491 tarilka0gg   31r   REG    0,1      226     0     11271 /memfd:mozilla-ipc (deleted)
Privilege 33491 tarilka0gg   32r   REG    0,1     6190     0     11272 /memfd:mozilla-ipc (deleted)
Privilege 33491 tarilka0gg   33r   REG    0,1     2172     0     11273 /memfd:mozilla-ipc (deleted)
Privilege 33491 tarilka0gg   34r   REG    0,1     2356     0     11274 /memfd:mozilla-ipc (deleted)
Privilege 33491 tarilka0gg   35r   REG    0,1    68240     0     11275 /memfd:mozilla-ipc (deleted)
Privilege 33491 tarilka0gg   36r   REG    0,1    24560     0     11276 /memfd:mozilla-ipc (deleted)
Privilege 33491 tarilka0gg   37r   REG    0,1      170     0     11277 /memfd:mozilla-ipc (deleted)
Privilege 33491 tarilka0gg   38r   REG    0,1      224     0     11265 /memfd:mozilla-ipc (deleted)
Privilege 33491 tarilka0gg   39r   REG    0,1     2748     0     11278 /memfd:mozilla-ipc (deleted)
Privilege 33491 tarilka0gg   40r   REG    0,1     1488     0     11279 /memfd:mozilla-ipc (deleted)
Privilege 33491 tarilka0gg   41r   REG    0,1    24584     0     11280 /memfd:mozilla-ipc (deleted)
RDD\x20Pr 33500 tarilka0gg   22r   REG    0,1   296992     0     11267 /memfd:mozilla-ipc (deleted)
Web\x20Co 33541 tarilka0gg   23r   REG    0,1   296992     0     11267 /memfd:mozilla-ipc (deleted)
Web\x20Co 33541 tarilka0gg   24r   REG    0,1   460800     0     11266 /memfd:mozilla-ipc (deleted)
Web\x20Co 33541 tarilka0gg   28r   REG    0,1    11822     0     11298 /memfd:mozilla-ipc (deleted)
Web\x20Co 33541 tarilka0gg   29r   REG    0,1  1073224     0     11840 /memfd:mozilla-ipc (deleted)
Web\x20Co 33541 tarilka0gg   30r   REG    0,1    14116     0     11339 /memfd:mozilla-ipc (deleted)
Web\x20Co 33541 tarilka0gg   31r   REG    0,1     7418     0     11270 /memfd:mozilla-ipc (deleted)
Web\x20Co 33541 tarilka0gg   32r   REG    0,1      226     0     11271 /memfd:mozilla-ipc (deleted)
Web\x20Co 33541 tarilka0gg   33r   REG    0,1     6190     0     11272 /memfd:mozilla-ipc (deleted)
Web\x20Co 33541 tarilka0gg   34r   REG    0,1     2172     0     11273 /memfd:mozilla-ipc (deleted)
